Category,Brand,Product Name,Full Title,Shipping,Price
Laptop,REFURBISHED,"HP Elitebook 830 G8 Laptop Intel i7-1185G7 3.0 GHz 32 GB RAM 512 GB SSD 13.3"" FHD Touchscreen Windows 11 Pro","REFURBISHED HP Elitebook 830 G8 Laptop Intel i7-1185G7 3.0 GHz 32 GB RAM 512 GB SSD 13.3"" FHD Touchscreen Windows 11 Pro",,359.99
Laptop,Auusda,"15.6"" Laptop Computer w/16GB RAM 512GB SSD, Intel N95 2.0-3.4 GHz, Windows 11 Pro Notebook, Backlit Keyboard, Fingerprint Unlock, Pink","Auusda 15.6"" Laptop Computer w/16GB RAM 512GB SSD, Intel N95 2.0-3.4 GHz, Windows 11 Pro Notebook, Backlit Keyboard, Fingerprint Unlock, Pink",,279.99
Laptop,ASUS,"VivoBook 15.6"" Touchscreen Laptop i7-1355U 16GB RAM 512 GB PCIe SSD Windows 11 Home F1504VA-SB76T","ASUS VivoBook 15.6"" Touchscreen Laptop i7-1355U 16GB RAM 512 GB PCIe SSD Windows 11 Home F1504VA-SB76T",,599.99
Laptop,Acer,"Swift Go 16 16.0"" Touchscreen Laptop Ultra 7 155H 16GB RAM 1 TB PCIe SSD Windows 11 Home SFG16-72T-71UL","Acer Swift Go 16 16.0"" Touchscreen Laptop Ultra 7 155H 16GB RAM 1 TB PCIe SSD Windows 11 Home SFG16-72T-71UL",,749.99
Laptop,Hasee,"X5 15.6 laptop computer Intel core i9-12900H, Intel® UHD Graphics , 16G LPDDR5 RAM, 512G NVMe PCIe4.0 SSD, 15.6'' Windows 11 Home WIFI6, BT5.2, Silvery, A Metal","Hasee X5 15.6 laptop computer Intel core i9-12900H, Intel® UHD Graphics , 16G LPDDR5 RAM, 512G NVMe PCIe4.0 SSD, 15.6'' Windows 11 Home WIFI6, BT5.2, Silvery, A Metal",,509.99
Laptop,CHUWI,"15.6'' GemiBook Plus Laptop Computer, Windows 11 Laptop 12th Gen Intel Alder Lake N100 (Up to 3.4GHz) 16GB RAM 512GB SSD PCIE, 1920X1080 HD Display Ultra Thin Laptop,HDMI/WiFi6/BT5.2/Webcam/38WH","CHUWI 15.6'' GemiBook Plus Laptop Computer, Windows 11 Laptop 12th Gen Intel Alder Lake N100 (Up to 3.4GHz) 16GB RAM 512GB SSD PCIE, 1920X1080 HD Display Ultra Thin Laptop,HDMI/WiFi6/BT5.2/Webcam/38WH",,269.99
Laptop,MSI,"Laptop Intel Core i9-13900HX 32GB Memory 2 TB PCIe SSD GeForce RTX 4060 Laptop GPU 16"" Touch Screen Windows 11 Home 64-bit Creator Z16 HX Studio A13VFTA-046US","MSI Laptop Intel Core i9-13900HX 32GB Memory 2 TB PCIe SSD GeForce RTX 4060 Laptop GPU 16"" Touch Screen Windows 11 Home 64-bit Creator Z16 HX Studio A13VFTA-046US",,1639.99
Laptop,LENOVO,"ThinkPad E16 Gen 1 Business Laptop, 16"" FHD+ Display, AMD Ryzen 7 7730U, 24GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, HDMI, RJ-45, Wi-Fi 6, Windows 11 Pro, Black","LENOVO ThinkPad E16 Gen 1 Business Laptop, 16"" FHD+ Display, AMD Ryzen 7 7730U, 24GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, HDMI, RJ-45, Wi-Fi 6, Windows 11 Pro, Black",,759.0
Laptop,Auusda,"15.6"" Gaming Laptop AMD Ryzen 7 5825U 2.0-4.5GHz, 32GB DDR4 RAM, 1TB NVME SSD, Windows 11 Pro Laptop Computer, Dual Channel SODIMM*2, Slot*2, Backlit, Fingerprint, Webcam Switch, Gray","Auusda 15.6"" Gaming Laptop AMD Ryzen 7 5825U 2.0-4.5GHz, 32GB DDR4 RAM, 1TB NVME SSD, Windows 11 Pro Laptop Computer, Dual Channel SODIMM*2, Slot*2, Backlit, Fingerprint, Webcam Switch, Gray",,549.98
Laptop,MSI,"- 16"" GeForce RTX 4070 Laptop GPU - Intel Core Ultra 9 185H - 32GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 240 Hz (Pulse 16 AI C1VGKG-077 )","MSI - 16"" GeForce RTX 4070 Laptop GPU - Intel Core Ultra 9 185H - 32GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 240 Hz (Pulse 16 AI C1VGKG-077 )",,1899.99
